Time,Abs
33.04166794,0.15800
33.05833435,0.15800
33.07500076,0.15800
33.09166718,0.15700
33.10833359,0.16000
33.125,0.16000
33.14167023,0.15700
33.15833664,0.16100
33.17500305,0.16000
33.19166946,0.16100
33.20833588,0.15900
33.22500229,0.15700
33.2416687,0.15700
33.25833511,0.16000
33.27500153,0.15800
33.29166794,0.15800
33.30833435,0.15800
33.32500076,0.16000
33.34166718,0.15800
33.35833359,0.15700
33.375,0.15900
33.39167023,0.15700
33.40833664,0.15700
33.42500305,0.15800
33.44166946,0.15900
33.45833588,0.15900
33.47500229,0.15900
33.4916687,0.15800
33.50833511,0.15900
33.52500153,0.15900
33.54166794,0.16000
33.55833435,0.15900
33.57500076,0.15800
33.59166718,0.16100
33.60833359,0.15900
33.625,0.16300
33.64167023,0.16000
33.65833664,0.16100
33.67500305,0.16000
33.69166946,0.16300
33.70833588,0.15900
33.72500229,0.15900
33.7416687,0.16200
33.75833511,0.16000
33.77500153,0.16200
33.79166794,0.16100
33.80833435,0.16100
33.82500076,0.15900
33.84166718,0.16100
33.85833359,0.16200
33.875,0.16100
33.89167023,0.15900
33.90833664,0.16400
33.92500305,0.16300
33.94166946,0.16200
33.95833588,0.16200
33.97500229,0.16200
33.9916687,0.16200
34.00833511,0.16300
34.02500153,0.16100
34.04166794,0.16200
34.05833435,0.16100
34.07500076,0.16200
34.09166718,0.16200
34.10833359,0.16200
34.125,0.16200
34.14167023,0.16100
34.15833664,0.16200
34.17500305,0.16200
34.19166946,0.16400
34.20833588,0.16100
34.22500229,0.16300
34.2416687,0.16300
34.25833511,0.16100
34.27500153,0.16200
34.29166794,0.16400
34.30833435,0.16200
34.32500076,0.16100
34.34166718,0.16300
34.35833359,0.16100
34.375,0.16300
34.39167023,0.16200
34.40833664,0.16200
34.42500305,0.16100
34.44166946,0.16100
34.45833588,0.16300
34.47500229,0.16300
34.4916687,0.16200
34.50833511,0.16300
34.52500153,0.16400
34.54166794,0.16300
34.55833435,0.16200
34.57500076,0.16300
34.59166718,0.16200
34.60833359,0.16200
34.625,0.16200
34.64167023,0.16400
34.65833664,0.16000
34.67500305,0.16200
34.69166946,0.16100
34.70833588,0.16300
34.72500229,0.16200
34.7416687,0.16100
34.75833511,0.16400
34.77500153,0.16400
34.79166794,0.16300
34.80833435,0.16500
34.82500076,0.16200
34.84166718,0.16200
34.85833359,0.16300
34.875,0.16300
34.89167023,0.16200
34.90833664,0.16300
34.92500305,0.16200
34.94166946,0.16200
34.95833588,0.16300
34.97500229,0.16200
34.9916687,0.16000
35.00833511,0.16100
35.02500153,0.16300
35.04166794,0.16200
35.05833435,0.16300
35.07500076,0.16200
35.09166718,0.16300
35.10833359,0.16200
35.125,0.16400
35.14167023,0.16200
35.15833664,0.16200
35.17500305,0.16200
35.19166946,0.16200
35.20833588,0.16200
35.22500229,0.16100
35.2416687,0.16300
35.25833511,0.15900
35.27500153,0.16000
35.29166794,0.16200
35.30833435,0.16100
35.32500076,0.16100
35.34166718,0.15900
35.35833359,0.16000
35.375,0.16000
35.39167023,0.16000
35.40833664,0.16000
35.42500305,0.16000
35.44166946,0.16100
35.45833588,0.15900
35.47500229,0.16000
35.4916687,0.16000
35.50833511,0.16100
35.52500153,0.16100
35.54166794,0.15900
35.55833435,0.16100
35.57500076,0.16200
35.59166718,0.16100
35.60833359,0.16000
35.625,0.16200
35.64167023,0.16000
35.65833664,0.15900
35.67500305,0.15900
35.69166946,0.16000
35.70833588,0.16000
35.72500229,0.16000
35.7416687,0.16000
35.75833511,0.16100
35.77500153,0.16000
35.79166794,0.15900
35.80833435,0.15800
35.82500076,0.16100
35.84166718,0.16100
35.85833359,0.15900
35.875,0.15900
35.89167023,0.16100
35.90833664,0.15900
35.92500305,0.16100
35.94166946,0.16100
35.95833588,0.15800
35.97500229,0.15900
35.9916687,0.15700
36.00833511,0.16000
36.02500153,0.15800
36.04166794,0.16000
36.05833435,0.16000
36.07500076,0.16000
36.09166718,0.16100
36.10833359,0.16000
36.125,0.15700
36.14167023,0.15800
36.15833664,0.16000
36.17500305,0.15800
36.19166946,0.16000
36.20833588,0.16000
36.22500229,0.16100
36.2416687,0.16000
36.25833511,0.16100
36.27500153,0.16000
36.29166794,0.15800
36.30833435,0.16000
36.32500076,0.16000
36.34166718,0.16000
36.35833359,0.15700
36.375,0.16000
36.39167023,0.15800
36.40833664,0.16000
36.42500305,0.15900
36.44166946,0.16000
36.45833588,0.16100
36.47500229,0.16000
36.4916687,0.15700
36.50833511,0.15800
36.52500153,0.16000
36.54166794,0.15700
36.55833435,0.15800
36.57500076,0.15600
36.59166718,0.15700
36.60833359,0.15700
36.625,0.15700
36.64167023,0.15700
36.65833664,0.15800
36.67500305,0.15900
36.69166946,0.15800
36.70833588,0.15900
36.72500229,0.15900
36.7416687,0.15900
36.75833511,0.15900
36.77500153,0.15800
36.79166794,0.15900
36.80833435,0.15800
36.82500076,0.16000
36.84166718,0.15800
36.85833359,0.15700
36.875,0.15800
36.89167023,0.15900
36.90833664,0.16100
36.92500305,0.15800
36.94166946,0.16000
36.95833588,0.15900
36.97500229,0.15900
36.9916687,0.15800
37.00833511,0.16000
37.02500153,0.16000
37.04166794,0.16000
37.05833435,0.15900
37.07500076,0.16000
37.09166718,0.16000
37.10833359,0.16000
37.125,0.16000
37.14167023,0.16000
37.15833664,0.15800
37.17500305,0.16000
37.19166946,0.15900
37.20833588,0.15900
37.22500229,0.15900
37.2416687,0.15800
37.25833511,0.15900
37.27500153,0.16000
37.29166794,0.16000
37.30833435,0.15900
37.32500076,0.15700
37.34166718,0.16000
37.35833359,0.16100
37.375,0.15800
37.39167023,0.16000
37.40833664,0.15900
37.42500305,0.16000
37.44166946,0.15700
37.45833588,0.16000
37.47500229,0.15800
37.4916687,0.16100
37.50833511,0.16100
37.52500153,0.15900
37.54166794,0.15900
37.55833435,0.15900
37.57500076,0.16000
37.59166718,0.16000
37.60833359,0.15900
37.625,0.15900
37.64167023,0.15700
37.65833664,0.15800
37.67500305,0.15900
37.69166946,0.16100
37.70833588,0.15800
37.72500229,0.15900
37.7416687,0.16000
37.75833511,0.15900
37.77500153,0.16100
37.79166794,0.15900
37.80833435,0.16000
37.82500076,0.15800
37.84166718,0.16000
37.85833359,0.16000
37.875,0.15900
37.89167023,0.15800
37.90833664,0.15900
37.92500305,0.15900
37.94166946,0.16000
37.95833588,0.16000
37.97500229,0.16000
37.9916687,0.16100
38.00833511,0.15900
38.02500153,0.15700
38.04166794,0.15700
38.05833435,0.15700
38.07500076,0.15900
38.09166718,0.15900
38.10833359,0.15900
38.125,0.15900
38.14167023,0.15800
38.15833664,0.15900
38.17500305,0.15700
38.19166946,0.15800
38.20833588,0.15900
38.22500229,0.15500
38.2416687,0.15900
38.25833511,0.15900
38.27500153,0.15500
38.29166794,0.15900
38.30833435,0.15700
38.32500076,0.15900
38.34166718,0.15800
38.35833359,0.15600
38.375,0.15600
38.39167023,0.15900
38.40833664,0.16000
38.42500305,0.15900
38.44166946,0.16000
38.45833588,0.16000
38.47500229,0.15900
38.4916687,0.15900
38.50833511,0.16000
38.52500153,0.15800
38.54166794,0.15900
38.55833435,0.15600
38.57500076,0.15800
38.59166718,0.15900
38.60833359,0.15900
38.625,0.16100
38.64167023,0.15900
38.65833664,0.15800
38.67500305,0.15800
38.69166946,0.15900
38.70833588,0.15600
38.72500229,0.15900
38.7416687,0.16000
38.75833511,0.15700
38.77500153,0.15700
38.79166794,0.15800
38.80833435,0.15800
38.82500076,0.15700
38.84166718,0.15800
38.85833359,0.15800
38.875,0.15900
38.89167023,0.15900
38.90833664,0.15800
38.92500305,0.15900
38.94166946,0.15900
38.95833588,0.15700
38.97500229,0.15900
38.9916687,0.15900
39.00833511,0.16000
39.02500153,0.15800
39.04166794,0.16000
39.05833435,0.16000
39.07500076,0.16000
39.09166718,0.15800
39.10833359,0.16100
39.125,0.15900
39.14167023,0.15800
39.15833664,0.16000
39.17500305,0.15800
39.19166946,0.15900
39.20833588,0.15800
39.22500229,0.16000
39.2416687,0.15700
39.25833511,0.15900
39.27500153,0.15900
39.29166794,0.15800
39.30833435,0.15700
39.32500076,0.16000
39.34166718,0.15900
39.35833359,0.16000
39.375,0.16000
39.39167023,0.15900
39.40833664,0.16100
39.42500305,0.15900
39.44166946,0.15800
39.45833588,0.15900
39.47500229,0.15900
39.4916687,0.16000
39.50833511,0.15800
39.52500153,0.15900
39.54166794,0.15900
39.55833435,0.15800
39.57500076,0.15900
39.59166718,0.15900
39.60833359,0.15800
39.625,0.16100
39.64167023,0.15900
39.65833664,0.16000
39.67500305,0.15800
39.69166946,0.16200
39.70833588,0.15700
39.72500229,0.16200
39.7416687,0.16100
39.75833511,0.16000
39.77500153,0.16200
39.79166794,0.16000
39.80833435,0.15900
39.82500076,0.16000
39.84166718,0.16300
39.85833359,0.16000
39.875,0.16000
39.89167023,0.15800
39.90833664,0.16300
39.92500305,0.15900
39.94166946,0.16500
39.95833588,0.16100
39.97500229,0.16200
39.9916687,0.16400
40.00833511,0.15900
40.02500153,0.15800
40.04166794,0.16500
40.05833435,0.16100
40.07500076,0.15800
40.09166718,0.16500
40.10833359,0.16900
40.125,0.16800
40.14167023,0.16700
40.15833664,0.16800
40.17500305,0.16700
40.19166946,0.16700
40.20833588,0.16700
40.22500229,0.16700
40.2416687,0.16700
40.25833511,0.16600
40.27500153,0.16400
40.29166794,0.16800
40.30833435,0.16900
40.32500076,0.16800
40.34166718,0.16800
40.35833359,0.16900
40.375,0.16700
40.39167023,0.16800
40.40833664,0.16800
40.42500305,0.16800
40.44166946,0.16900
40.45833588,0.16900
40.47500229,0.16900
40.4916687,0.16600
40.50833511,0.16700
40.52500153,0.16900
40.54166794,0.16800
40.55833435,0.16400
40.57500076,0.16700
40.59166718,0.16800
40.60833359,0.16800
40.625,0.16800
40.64167023,0.17000
40.65833664,0.16800
40.67500305,0.16800
40.69166946,0.16700
40.70833588,0.16700
40.72500229,0.17000
40.7416687,0.16700
40.75833511,0.16900
40.77500153,0.17100
40.79166794,0.16800
40.80833435,0.17000
40.82500076,0.17000
40.84166718,0.16600
40.85833359,0.16900
40.875,0.16900
40.89167023,0.17000
40.90833664,0.17000
40.92500305,0.16800
40.94166946,0.17000
40.95833588,0.17100
40.97500229,0.17100
40.9916687,0.17000
41.00833511,0.16700
41.02500153,0.16800
41.04166794,0.17100
