Time,Abs,Temp
709,0.138583005,306.399588
711,0.135495931,306.401023
712,0.136019915,306.395162
714,0.137181804,306.370753
716,0.137345076,306.357821
717,0.137260273,306.305028
718,0.136150613,306.33195
720,0.137093529,306.321877
722,0.134517133,306.263831
723,0.137574136,306.252179
724,0.138224855,306.216873
726,0.141354501,306.208614
728,0.140777439,306.171831
730,0.14369598,306.145035
731,0.142581284,306.140601
733,0.146545649,306.099477
734,0.146514446,306.099477
735,0.146536395,306.091947
736,0.143893078,306.097817
738,0.146827549,306.044787
740,0.131351173,306.002728
741,0.130698383,306.00976
743,0.13254492,306.0273
744,0.142709836,306.005386
746,0.145858124,305.95855
747,0.140094757,305.968691
749,0.134534165,305.924886
750,0.138024405,305.918411
753,0.137332603,305.888185
756,0.136656597,305.835495
757,0.136559874,305.833755
759,0.137410492,305.822535
761,0.134877712,305.756589
762,0.134574547,305.761782
764,0.130206138,305.751967
767,0.136190385,305.703313
768,0.135405332,305.691033
770,0.130542606,305.65405
771,0.132248387,305.63617
772,0.129919142,305.646852
774,0.133361697,305.600296
775,0.13390401,305.609713
776,0.132084966,305.587054
777,0.132329136,305.584964
778,0.131428838,305.566847
779,0.129283741,305.523603
781,0.12620984,305.548649
783,0.129517585,305.480317
784,0.130980939,305.484547
786,0.131089345,305.453944
787,0.129402414,305.459896
788,0.126177505,305.414823
791,0.130871937,305.420805
792,0.13041909,305.380807
793,0.128442437,305.393359
794,0.129888862,305.345124
795,0.126290426,305.316118
798,0.125791907,305.352233
800,0.125434473,305.275022
802,0.124834649,305.277876
803,0.126686409,305.250557
804,0.129085109,305.232711
806,0.130588085,305.229881
807,0.125114515,305.21818
809,0.128340736,305.183579
810,0.129565686,305.201433
811,0.129320025,305.17587
812,0.129978359,305.158526
814,0.128483117,305.136701
815,0.127042934,305.1181
816,0.125474528,305.095098
818,0.125329554,305.026408
819,0.124499694,305.095984
821,0.1281683,305.023139
823,0.122510873,305.012867
824,0.121224187,305.018701
825,0.122765653,304.998612
827,0.126798704,304.975685
829,0.122739658,304.951975
830,0.121706903,304.91461
833,0.121009231,304.885338
835,0.122296862,304.879588
836,0.123224743,304.821629
837,0.118411005,304.826518
838,0.122796737,304.8421
840,0.11822068,304.812067
843,0.127540425,304.787308
845,0.130294338,304.720544
846,0.124469727,304.731413
847,0.128994063,304.706256
848,0.12532571,304.717489
850,0.128511682,304.67938
851,0.124596968,304.675346
852,0.132257104,304.678702
855,0.126744881,304.630962
857,0.126455128,304.586939
859,0.128349409,304.582737
861,0.123136088,304.537662
862,0.124908403,304.525402
863,0.129007161,304.522494
864,0.127094343,304.519722
866,0.124761745,304.49655
868,0.127321214,304.443759
869,0.12610957,304.440936
871,0.123174347,304.438268
872,0.123959005,304.398744
874,0.124810047,304.383011
875,0.124120474,304.365059
878,0.12465553,304.31335
879,0.123588592,304.325763
880,0.12728405,304.324937
882,0.12511228,304.285065
883,0.121666856,304.255213
884,0.121408366,304.24797
886,0.121276379,304.2088
887,0.122695118,304.204904
888,0.121263064,304.173807
891,0.121389642,304.160385
893,0.119179189,304.150903
895,0.123656064,304.123502
896,0.118087411,304.100774
897,0.119655438,304.077114
898,0.118410796,304.10969
900,0.119756311,304.062838
902,0.117791429,304.02633
903,0.118899174,304.025269
904,0.119306967,304.00353
907,0.117726617,304.00055
908,0.11608848,303.966123
911,0.117504329,303.917733
912,0.118099473,303.871763
914,0.119093746,303.909461
916,0.117907994,303.858746
917,0.118312076,303.823759
919,0.12166024,303.832285
921,0.1184448,303.783901
922,0.119004667,303.78242
924,0.118376292,303.764187
925,0.115132541,303.738684
927,0.115771145,303.726953
928,0.118032411,303.724126
930,0.116317391,303.686642
931,0.118777067,303.658753
932,0.116969056,303.652544
934,0.115257517,303.64249
