Time,Abs1,Temp1,Abs2,Temp2
489,0.383201361,291.862931,0.174924061,308.727096
494,0.380427927,291.923224,0.174317211,308.643443
495,0.379085213,291.947877,0.172028065,308.66021
499,0.379432738,291.987603,0.175496012,308.607889
501,0.376980096,292.005782,0.176603541,308.59813
502,0.376710117,291.960541,0.169343442,308.576428
505,0.374389976,292.014099,0.184010819,308.552029
509,0.373039961,292.070181,0.182213485,308.514295
511,0.373585284,292.060593,0.183053017,308.462222
514,0.370304853,292.119609,0.185816795,308.450993
516,0.368332416,292.113418,0.180294246,308.432088
522,0.362994164,292.194121,0.168606862,308.37237
525,0.365956485,292.180667,0.178983912,308.355179
528,0.36392802,292.247507,0.172930956,308.288032
529,0.366032124,292.248481,0.166449592,308.304806
531,0.365412861,292.283889,0.169708684,308.239004
532,0.365213186,292.260758,0.167568222,308.247727
533,0.363513798,292.297638,0.171071395,308.232809
534,0.361088514,292.297638,0.170785129,308.226082
536,0.362049222,292.344299,0.170464501,308.233014
538,0.364053547,292.335721,0.164762124,308.186654
541,0.362214804,292.363362,0.168957412,308.171677
543,0.360763788,292.358577,0.163041428,308.113825
545,0.35893181,292.4199,0.165216729,308.110185
548,0.364239752,292.421474,0.166603416,308.064931
553,0.35978508,292.492937,0.164157346,308.011372
554,0.357766688,292.515759,0.159278899,307.996066
556,0.355761468,292.517831,0.167748153,307.989287
558,0.358445197,292.55327,0.163716719,307.949352
561,0.360284567,292.573745,0.159994558,307.91944
565,0.361540616,292.630303,0.16113545,307.897352
567,0.371836245,292.633025,0.162007794,307.842876
568,0.372140139,292.645241,0.161676258,307.861618
569,0.371266842,292.677651,0.160897419,307.830392
571,0.370541394,292.694761,0.161090136,307.814095
572,0.373259842,292.666338,0.161572412,307.817503
575,0.371854097,292.728215,0.155450612,307.769298
576,0.373012573,292.734107,0.156407729,307.776984
578,0.373200357,292.75736,0.157862261,307.707921
579,0.366475493,292.754669,0.158983782,307.693354
581,0.352272779,292.812133,0.15347828,307.706672
586,0.351906747,292.841563,0.156644926,307.643818
595,0.355615944,292.940429,0.15675205,307.492388
599,0.350723386,292.964877,0.155281991,307.51411
604,0.349779725,293.029933,0.155656457,307.389947
607,0.3510831,293.074255,0.157917857,307.387128
608,0.346200466,293.074406,0.1532612,307.378572
610,0.34762311,293.11092,0.154422715,307.353268
611,0.34686473,293.11092,0.157189429,307.317098
614,0.344255984,293.152793,0.154446796,307.289641
616,0.345253587,293.175608,0.155114844,307.270178
619,0.343052477,293.228131,0.157370135,307.238803
628,0.342289627,293.320538,0.15189679,307.129347
629,0.340324372,293.330573,0.149386779,307.124493
631,0.342841059,293.348675,0.149785101,307.110661
635,0.343684614,293.405586,0.149330184,307.042626
636,0.340517581,293.416364,0.14753817,307.017153
637,0.342925191,293.380714,0.148087427,307.011348
639,0.342247307,293.411811,0.144942224,307.005763
641,0.34027651,293.437722,0.145424619,306.982035
642,0.339315623,293.493999,0.144632071,306.953076
643,0.336033493,293.475581,0.144461051,306.953536
648,0.337401182,293.521999,0.14182736,306.878201
650,0.334511638,293.570777,0.141242474,306.861848
654,0.332433403,293.604616,0.146042511,306.814498
657,0.335572511,293.624749,0.140241638,306.753677
660,0.333151013,293.655704,0.142475754,306.748095
663,0.336421073,293.705583,0.142490387,306.69608
665,0.337235451,293.736431,0.142530173,306.631632
667,0.334866583,293.788892,0.143547967,306.658615
668,0.337900221,293.816376,0.146059215,306.655057
671,0.335228026,293.813768,0.141355723,306.597271
673,0.337141693,293.84294,0.142247766,306.579768
674,0.33481583,293.849882,0.142480567,306.553737
677,0.336953998,293.898424,0.139917672,306.522992
682,0.335809976,293.965788,0.141330734,306.458968
