Time (min),Abs
30.5333332,0.153222486
30.54999961,0.152776241
30.56666602,0.155005008
30.58333243,0.152152538
30.60000075,0.153410167
30.61666717,0.15147832
30.63333358,0.152998239
30.64999999,0.153656423
30.6666664,0.153755218
30.68333281,0.155544564
30.69999923,0.152380422
30.71666564,0.155134961
30.73333396,0.15132612
30.75000037,0.153063119
30.76666678,0.151967198
30.7833332,0.153243735
30.79999961,0.153840348
30.81666602,0.152231112
30.83333243,0.151809245
30.85000075,0.153646946
30.86666717,0.152913898
30.88333358,0.153214082
30.89999999,0.152279303
30.9166664,0.152352601
30.93333281,0.151299238
30.94999923,0.151982173
30.96666564,0.152052373
30.98333396,0.14999339
31.00000037,0.151612595
31.01666678,0.150390625
31.0333332,0.150631174
31.04999961,0.151760697
31.06666602,0.156411514
31.08333243,0.151160896
31.10000075,0.151638031
31.11666717,0.1515764
31.13333358,0.152482316
31.14999999,0.151883781
31.1666664,0.150579691
31.18333281,0.150286302
31.19999923,0.152012482
31.21666564,0.15191783
31.23333396,0.153138205
31.25000037,0.152122334
31.26666678,0.151257142
31.2833332,0.151368052
31.29999961,0.151561767
31.31666602,0.152352601
31.33333243,0.151441932
31.35000075,0.150010839
31.36666717,0.152179033
31.38333358,0.150808662
31.39999999,0.15097256
31.4166664,0.149238706
31.43333281,0.152964592
31.44999923,0.151047438
31.46666564,0.151929915
31.48333396,0.15126811
31.50000037,0.150537223
31.51666678,0.15111506
31.5333332,0.151171774
31.54999961,0.148978457
31.56666602,0.151203647
31.58333243,0.150503144
31.60000075,0.147578433
31.61666717,0.15023306
31.63333358,0.15008226
31.64999999,0.150462657
31.6666664,0.149235457
31.68333281,0.150601849
31.69999923,0.150049523
31.71666564,0.149281234
31.73333396,0.151593283
31.75000037,0.149534419
31.76666678,0.149373487
31.7833351,0.148648083
31.80000152,0.147069156
31.81666793,0.154479891
31.83333434,0.150419906
31.85000075,0.149972737
31.86666717,0.151985228
31.88333358,0.14756839
31.89999999,0.151527748
31.91667022,0.150756389
31.93333663,0.150950417
31.95000304,0.149821907
31.96666945,0.151275873
31.98333587,0.149963409
32.00000228,0.152918026
32.01666869,0.149030224
32.0333351,0.15097332
32.05000152,0.152102903
32.06666793,0.151065722
32.08333434,0.146889746
32.10000075,0.152478352
32.11666717,0.146960393
32.13333358,0.147949651
32.14999999,0.152854636
32.16667022,0.144107297
32.18333663,0.153575018
32.20000304,0.152200714
32.21666945,0.153852925
32.23333587,0.153911814
32.25000228,0.155203641
32.26666869,0.154438779
32.2833351,0.155393302
32.30000152,0.156456277
32.31666793,0.155461535
32.33333434,0.149463207
32.35000075,0.14406766
32.36666717,0.145371661
32.38333358,0.153536409
32.39999999,0.152821809
32.41667022,0.154981926
32.43333663,0.150395721
32.45000304,0.153086394
32.46666945,0.154619902
32.48333587,0.153763846
32.50000228,0.15477851
32.51666869,0.155920371
32.5333351,0.155538529
32.55000152,0.155151546
32.56666793,0.155124202
32.58333434,0.153837174
32.60000075,0.153344363
32.61666717,0.154324129
32.63333358,0.15186204
32.64999999,0.152893171
32.66667022,0.152605012
32.68333663,0.155391529
32.70000304,0.15477097
32.71666945,0.15515843
32.73333587,0.154482707
32.75000228,0.152199909
32.76666869,0.154947311
32.7833351,0.157097682
32.80000152,0.155421555
32.81666793,0.154373989
32.83333434,0.152049109
32.85000075,0.154606789
32.86666717,0.154350102
32.88333358,0.15578261
32.89999999,0.152934253
32.91667022,0.154343456
32.93333663,0.154129624
32.95000304,0.151999995
32.96666945,0.154769525
32.98333587,0.154312909
33.00000228,0.154512376
33.01666869,0.145637602
33.0333351,0.153831869
33.05000152,0.154329673
33.06666793,0.15382205
33.08333434,0.153662056
33.10000075,0.153170317
33.11666717,0.147052601
33.13333358,0.153618515
33.14999999,0.154510155
33.16667022,0.154741541
33.18333663,0.153639272
33.20000304,0.155727372
33.21666945,0.152091324
33.23333587,0.153163135
33.25000228,0.151978061
33.26666869,0.153847769
33.2833351,0.142873764
33.30000152,0.144390479
33.31666793,0.144368723
33.33333434,0.150909603
33.35000075,0.155856133
33.36666717,0.156010747
33.38333358,0.152632088
33.39999999,0.153395549
33.41667022,0.154706836
33.43333663,0.152067035
33.45000304,0.146663591
33.46666945,0.143514857
33.48333587,0.142598599
33.50000228,0.153766096
33.51666869,0.145530149
33.5333351,0.146235019
33.55000152,0.153544307
33.56666793,0.153856218
33.58333434,0.151978612
33.60000075,0.14780964
33.61666717,0.142271221
33.63333358,0.146457717
33.64999999,0.14501749
33.66667022,0.144801304
33.68333663,0.148743272
33.70000304,0.148819
