Time (sec),Abs,Temperature
1816,0.122974403,309.365579
1817,0.124172568,309.384703
1818,0.123188473,309.402087
1819,0.122811265,309.443502
1820,0.123613469,309.423954
1821,0.122687496,309.423954
1822,0.124031223,309.448712
1823,0.120879553,309.483035
1824,0.124769338,309.491994
1825,0.120390177,309.491994
1826,0.120869771,309.515858
1827,0.121250846,309.515858
1828,0.119246468,309.552837
1829,0.122229144,309.552837
1830,0.123395607,309.55371
1831,0.1238323,309.577515
1832,0.12146695,309.602282
1833,0.121692821,309.630829
1834,0.120188609,309.630829
1835,0.120299712,309.638895
1836,0.120122552,309.638895
1837,0.121284418,309.662148
1838,0.120559245,309.69163
1839,0.121677339,309.69163
1840,0.122373298,309.698927
1841,0.121776797,309.698927
1842,0.119533867,309.702707
1843,0.120571747,309.760146
1844,0.119235188,309.758799
1845,0.122371584,309.776268
1846,0.120181024,309.776268
1847,0.122676991,309.793408
1848,0.122693405,309.793408
1849,0.12123812,309.793408
1850,0.120462559,309.840062
1851,0.12274041,309.840062
1852,0.122732408,309.836747
1853,0.122043073,309.871026
1854,0.121848308,309.888303
1855,0.122820124,309.888303
1856,0.121366434,309.93605
1857,0.123539113,309.93605
1858,0.122247532,309.93605
1859,0.124675818,309.949888
1860,0.121552013,309.958096
1861,0.121413879,309.958096
1862,0.123013914,309.958096
1863,0.120763995,310.023778
1864,0.121128857,310.007623
1865,0.123917095,310.045039
1866,0.120478988,310.018808
1867,0.120818555,310.018808
1868,0.122778364,310.081138
1869,0.119915031,310.091914
1870,0.122326054,310.091914
1871,0.12118391,310.121827
1872,0.121006534,310.121827
1873,0.119686574,310.162871
1874,0.121349834,310.15119
1875,0.121439487,310.15119
1876,0.120517045,310.15119
1877,0.120187447,310.201391
1878,0.119664371,310.186758
1879,0.121027738,310.235701
1880,0.119876444,310.23371
1881,0.122413926,310.23371
1882,0.122104757,310.263158
1883,0.122797556,310.256667
1884,0.120466791,310.256667
1885,0.12107344,310.292342
1886,0.120327815,310.293573
1887,0.121504031,310.293573
1888,0.121725842,310.314969
1889,0.122151874,310.353682
1890,0.118846789,310.369043
1891,0.120201305,310.369043
1892,0.121014126,310.369147
1893,0.121216178,310.41031
1894,0.119626388,310.41031
1895,0.121007353,310.399817
1896,0.120482266,310.399817
1897,0.122286052,310.399817
1898,0.122324102,310.489062
1899,0.121468559,310.489062
1900,0.121351443,310.509317
1901,0.122377999,310.519286
1902,0.121204071,310.519286
1903,0.119661711,310.519286
1904,0.120435059,310.537264
1905,0.121430419,310.537264
1906,0.122786395,310.554437
1907,0.117984787,310.578894
1908,0.120398201,310.600156
1909,0.122150295,310.600156
1910,0.120706126,310.600156
1911,0.120128222,310.596529
1912,0.119088329,310.596529
1913,0.12164212,310.596529
1914,0.12019328,310.681688
1915,0.119116768,310.681688
1916,0.120082416,310.67948
1917,0.118801393,310.686422
1918,0.119363189,310.708372
1919,0.122046091,310.708372
1920,0.11881303,310.708372
1921,0.118085071,310.726051
1922,0.119838104,310.726051
1923,0.117808536,310.732275
1924,0.119044475,310.775428
1925,0.121099539,310.791509
1926,0.118325196,310.825778
1927,0.11991623,310.825778
1928,0.116599374,310.835291
1929,0.118466668,310.835291
1930,0.118326694,310.870364
1931,0.120225921,310.867391
1932,0.120152116,310.870274
1933,0.118687749,310.862934
1934,0.118789651,310.90439
