Sample 1,,
Time (min),Abs,
0.8675000072,0.4500867724,
0.8691667318,0.4487914443,
0.8708333373,0.4430464804,
0.8725000024,0.4326064885,
0.8741666675,0.4380477369,
0.8758333325,0.4423625469,
0.8775000572,0.4327779412,
0.8791666627,0.440823257,
0.8808333278,0.4459885955,
0.8825000525,0.4508548677,
0.8841666579,0.4368937314,
0.8858333826,0.4410732687,
0.8874999881,0.4431100488,
0.8891666532,0.4359189272,
0.8908333778,0.4351358116,
0.8924999833,0.4432395399,
0.894166708,0.4444935918,
0.8958333731,0.4320932329,
0.8974999785,0.4337290525,
0.8991667032,0.442512691,
0.9008333087,0.4403926134,
0.9025000334,0.4380582273,
0.9041666985,0.4423123598,
0.9058333039,0.4441812038,
0.9075000286,0.4285320938,
0.9091666937,0.4483819604,
0.9108333588,0.4550198019,
0.9125000238,0.4356634021,
0.9141666293,0.4419885874,
0.915833354,0.4358791113,
0.9175000191,0.4394144714,
0.9191666842,0.4421477318,
0.9208333492,0.4439956248,
0.9225000143,0.4364565015,
0.9241666794,0.4525979459,
0.9258333445,0.4376084805,
0.9275000095,0.4410918653,
0.9291666746,0.4419709742,
0.9308333397,0.4450503886,
0.9325000048,0.4394111335,
0.9341666698,0.4355865121,
0.9358333945,0.4376728237,
0.9375,0.4391183853,
0.9391666651,0.4372988939,
0.9408333302,0.4356296062,
0.9424999952,0.4464343488,
0.9441667199,0.4438699484,
0.9458333254,0.441411227,
0.9474999905,0.4431312382,
0.9491667151,0.434764415,
0.9508333206,0.4389161766,
0.9525000453,0.4386267662,
0.9541666508,0.4415310919,
0.9558333158,0.4466957748,
0.9575000405,0.4476577044,
0.959166646,0.4399760664,
0.9608333707,0.431506604,
0.9625000358,0.4430902302,
0.9641666412,0.440454185,
0.9658333659,0.4411676824,
0.9674999714,0.4401171207,
0.9691666961,0.4435157478,
0.9708333611,0.4391887784,
0.9724999666,0.4365003407,
0.9741666913,0.4472396374,
0.9758333564,0.4240693748,
0.9775000215,0.4439144731,
0.9791666865,0.4425336719,
0.980833292,0.4424742162,
0.9825000167,0.4312380552,
0.9841666818,0.456314832,
0.9858333468,0.4501477182,
0.9875000119,0.4276002049,
0.989166677,0.4339056015,
0.9908333421,0.4422011673,
0.9925000072,0.4473450482,
0.9941667318,0.4353889823,
0.9958333373,0.444446981,
0.9975000024,0.4366146624,
0.9991666675,0.4366877079,
1.000833392,0.4347888827,
1.002500057,0.4423967898,
1.004166722,0.4298520982,
1.005833387,0.4291086793,
1.007500052,0.4309542775,
1.009166718,0.4327771664,
1.010833383,0.4374466836,
1.012500048,0.4501002431,
1.014166713,0.4503567815,
1.015833378,0.4299808145,
1.017500043,0.4412654638,
1.019166708,0.4402741194,
1.020833373,0.4373627305,
1.022500038,0.4343856871,
1.024166703,0.4322120547,
1.025833368,0.438408941,
1.027500153,0.4273612201,
1.029166698,0.4333745539,
1.030833364,0.4317325056,
1.032500029,0.4420261383,
1.034166694,0.448041141,
1.035833478,0.4371779859,
1.037500024,0.436035037,
1.039166689,0.4443806112,
1.040833473,0.4525268376,
1.042500019,0.4354282916,
1.044166803,0.4363108277,
1.045833349,0.4300679266,
1.047500014,0.4371192157,
1.049166799,0.4403406084,
1.050833344,0.4364957809,
1.052500129,0.4364797771,
1.054166794,0.4292998016,
1.05583334,0.432462275,
1.057500124,0.4351438284,
1.05916667,0.433131963,
1.060833454,0.4316219985,
1.062500119,0.4370392263,
1.064166665,0.4326944351,
1.065833449,0.4384676218,
1.067500114,0.4393830597,
1.06916666,0.4406571686,
1.070833445,0.4384092689,
1.07250011,0.4286456108,
1.074166775,0.4384194314,
1.07583344,0.4465419054,
1.077499986,0.4358919561,
1.07916677,0.4305951893,
1.080833435,0.4328936934,
1.0825001,0.4296389222,
1.084166765,0.4264525473,
1.085833311,0.4356153607,
1.087500095,0.4340348244,
1.08916676,0.4294852912,
1.090833426,0.4422668815,
1.092500091,0.4335730374,
1.094166756,0.4286994934,
1.095833421,0.437166661,
1.097500086,0.4206402302,
1.099166751,0.4234039783,
1.100833416,0.4412412941,
1.102500081,0.4346665442,
1.104166746,0.4364373386,
1.105833411,0.4281020761,
1.107500076,0.4288341105,
1.109166741,0.4462658167,
1.110833406,0.4351741076,
1.112500191,0.4330938756,
1.114166737,0.4297576547,
1.115833402,0.4296827018,
1.117500067,0.4359755516,
1.119166732,0.4323081374,
1.120833516,0.4285800159,
1.122500062,0.4343343079,
1.124166727,0.4288226068,
1.125833392,0.4325554669,
1.127500057,0.4253183901,
1.129166842,0.4306692183,
1.130833387,0.4295954704,
1.132500052,0.4189652503,
1.134166718,0.43616274,
1.135833383,0.4323439002,
1.137500167,0.4356598854,
1.139166832,0.4274632335,
1.140833378,0.4450209141,
1.142500043,0.4337353706,
1.144166708,0.4427364767,
1.145833492,0.426628083,
1.147500157,0.4294268787,
1.149166703,0.4456988275,
1.150833368,0.4401841164,
1.152500033,0.4354959726,
1.154166818,0.4310302734,
1.155833483,0.4363722801,
1.157500029,0.4342938066,
1.159166694,0.4383564293,
1.160833359,0.4344890416,
1.162500143,0.4321523607,
1.164166808,0.4333792031,
1.165833473,0.4327794313,
1.167500019,0.4294753969,
1.169166684,0.4343892932,
1.170833468,0.4405965805,
1.172500134,0.4276233912,
1.174166799,0.4304165542,
1.175833344,0.4300958514,
1.17750001,0.4349161685,
1.179166794,0.4279358089,
1.180833459,0.4352982044,
1.182500124,0.4317910969,
1.18416667,0.4413743019,
1.185833335,0.4277103543,
1.187500119,0.4373996258,
1.189166784,0.420741111,
1.190833449,0.4244897962,
1.192500114,0.4335664213,
1.19416666,0.4263060987,
1.195833445,0.4400348961,
1.19750011,0.4383840263,
1.199166775,0.4316159189,
1.20083344,0.4381527305,
1.202499986,0.4358174801,
1.20416677,0.4347909093,
1.205833435,0.4277671278,
1.2075001,0.4364888966,
1.209166765,0.4389310777,
1.210833311,0.4346828759,
1.212500095,0.4466902316,
1.21416676,0.4292320013,
1.215833426,0.4334234893,
1.217500091,0.4279095531,
1.219166756,0.4285565317,
1.220833421,0.4372909069,
1.222500086,0.4385042787,
1.224166751,0.429472506,
1.225833416,0.4302809536,
1.227500081,0.4320988953,
1.229166746,0.4404861629,
1.230833411,0.4209479392,
1.232500076,0.4336741865,
1.234166741,0.4306605458,
1.235833406,0.4265919328,
1.237500191,0.4247057438,
1.239166737,0.4323214889,
1.240833402,0.4343134761,
1.242500067,0.4319746792,
1.244166732,0.4254179299,
1.245833516,0.4338409305,
1.247500062,0.4330335557,
1.249166727,0.4252266884,
1.250833392,0.4266372323,
1.252500057,0.4278733432,
1.254166842,0.4298367798,
1.255833387,0.4270073175,
1.257500052,0.435098052,
1.259166718,0.4416098297,
1.260833383,0.4490858316,
1.262500167,0.4419668019,
1.264166832,0.4300042689,
1.265833378,0.4296613634,
1.267500043,0.4343941808,
1.269166708,0.4305574894,
1.270833492,0.4430890977,
1.272500157,0.4345320165,
1.274166703,0.4438725412,
1.275833368,0.4273173511,
1.277500033,0.4311947525,
1.279166818,0.4341396391,
1.280833483,0.4346665442,
1.282500029,0.4305979609,
1.284166694,0.4283900857,
1.285833359,0.4293753207,
1.287500143,0.4354488254,
1.289166808,0.4296393991,
1.290833473,0.4337541461,
1.292500019,0.4344962835,
1.294166684,0.4253181815,
1.295833468,0.4337283075,
1.297500134,0.444648236,
1.299166799,0.4361930192,
1.300833344,0.4373492599,
1.30250001,0.431940645,
1.304166794,0.4367882311,
1.305833459,0.4343115687,
1.307500124,0.4302971661,
1.30916667,0.4326429069,
1.310833335,0.4241886139,
1.312500119,0.4412079751,
1.314166784,0.4342877567,
1.315833449,0.4373387694,
1.317500114,0.430747062,
1.31916666,0.4300632477,
1.320833445,0.4364542365,
1.32250011,0.4180028141,
1.324166775,0.4297702909,
1.32583344,0.4394184649,
1.327499986,0.4230528772,
1.32916677,0.4273095429,
1.330833435,0.4289195538,
1.3325001,0.4316318631,
1.334166765,0.4397180676,
1.335833311,0.43580392,
1.337500095,0.4236817062,
1.33916676,0.4306257069,
1.340833426,0.4345343709,
1.342500091,0.4359012842,
1.344166756,0.4298270643,
1.345833421,0.4345213771,
1.347500086,0.4321742654,
1.349166751,0.4258041084,
1.350833416,0.4447847009,
1.352500081,0.4255923033,
1.354166746,0.438780129,
1.355833411,0.4418030381,
1.357500076,0.4310311377,
1.359166741,0.4272269309,
1.360833406,0.4227203131,
1.362500191,0.4321373105,
1.364166737,0.4438417256,
1.365833402,0.42122522,
1.367500067,0.4255613089,
1.369166732,0.4328466356,
1.370833516,0.4276953936,
1.372500062,0.4218569398,
1.374166727,0.4251561165,
1.375833392,0.4329758883,
1.377500057,0.4295191169,
1.379166842,0.4416403174,
1.380833387,0.4262438715,
1.382500052,0.4270147085,
1.384166718,0.4212622344,
1.385833383,0.4218263328,
1.387500167,0.4332028329,
1.389166832,0.4263065755,
1.390833378,0.4312469363,
1.392500043,0.4224061072,
1.394166708,0.4322877526,
1.395833492,0.4365772009,
1.397500157,0.4262139201,
1.399166703,0.4212197661,
1.400833368,0.4239239693,
1.402500033,0.422065407,
1.404166818,0.4317933619,
1.405833483,0.4318619668,
1.407500029,0.4360792637,
1.409166694,0.4152920842,
1.410833359,0.4300573766,
1.412500143,0.4289623201,
1.414166808,0.4361939132,
1.415833473,0.4313540757,
1.417500019,0.4377501309,
1.419166684,0.4397834539,
1.420833468,0.4258730412,
1.422500134,0.4171373844,
1.424166799,0.4215184748,
1.425833344,0.4404219389,
1.42750001,0.4351639748,
1.429166794,0.4394403994,
1.430833459,0.4315999746,
1.432500124,0.4308209717,
1.43416667,0.4431928098,
1.435833335,0.4294908345,
1.437500119,0.4291899204,
1.439166784,0.429074347,
1.440833449,0.4274668694,
1.442500114,0.4290236831,
1.44416666,0.4208256602,
1.445833445,0.4366405904,
1.44750011,0.4248149991,
1.449166775,0.4227233231,
1.45083344,0.4393630922,
1.452499986,0.4307129383,
1.45416677,0.4360480905,
1.455833435,0.4309806526,
1.4575001,0.4352425933,
1.459166765,0.4321625531,
1.460833311,0.4227467477,
1.462500095,0.4277036488,
1.46416676,0.4318935573,
1.465833426,0.4279317558,
1.467500091,0.4266504049,
1.469166756,0.4260308146,
1.470833421,0.4337963164,
1.472500086,0.4261745214,
1.474166751,0.428653568,
1.475833416,0.4234612882,
1.477500081,0.4258575439,
1.479166746,0.4334093332,
1.480833411,0.422578752,
1.482500076,0.4208665192,
1.484166741,0.4290619493,
1.485833406,0.4171306193,
1.487500191,0.4298227429,
1.489166737,0.438693732,
1.490833402,0.424336195,
1.492500067,0.4278410971,
1.494166732,0.4212478697,
1.495833516,0.423840493,
1.497500062,0.415317446,
1.499166727,0.4261695147,
1.500833392,0.4245010316,
1.502500057,0.4218494594,
1.504166842,0.4253636599,
1.505833387,0.4145029187,
1.507500052,0.4204800725,
1.509166718,0.4168453813,
1.510833383,0.432986021,
1.512500167,0.4274597466,
1.514166832,0.4222194552,
1.515833378,0.4224217832,
1.517500043,0.4343271255,
1.519166708,0.4263340533,
1.520833492,0.4201357663,
1.522500157,0.426825285,
1.524166703,0.4276201427,
1.525833368,0.4273115396,
1.527500033,0.4296358526,
1.529166818,0.4310387671,
1.530833483,0.4292972684,
1.532500029,0.4259698689,
1.534166694,0.4275821149,
1.535833359,0.4329213798,
1.537500143,0.4276453853,
1.539166808,0.4311262667,
1.540833473,0.4272753596,
1.542500019,0.432138741,
1.544166684,0.4230757654,
1.545833468,0.4170482159,
1.547500134,0.4219564199,
1.549166799,0.4304297566,
1.550833344,0.4234019816,
1.55250001,0.4329227805,
1.554166794,0.4304470718,
1.555833459,0.4317269027,
1.557500124,0.4301693439,
1.55916667,0.4215050638,
1.560833335,0.4189245105,
1.562500119,0.4279497862,
1.564166784,0.4276092947,
1.565833449,0.4129394591,
1.567500114,0.4234000146,
1.56916666,0.42214185,
1.570833445,0.42987445,
1.57250011,0.4168556929,
1.574166775,0.4251791835,
1.57583344,0.4204623401,
1.577499986,0.4312991202,
1.57916677,0.428048104,
1.580833435,0.4131161869,
1.5825001,0.4181366563,
1.584166765,0.4309933484,
1.585833311,0.4240261018,
1.587500095,0.4241807163,
1.58916676,0.4354248345,
1.590833426,0.4225925505,
1.592500091,0.4264978766,
1.594166756,0.4222166538,
1.595833421,0.4372012019,
1.597500086,0.4310518503,
1.599166751,0.4193587303,
1.600833416,0.4241545796,
1.602500081,0.4194725454,
1.604166746,0.4260299802,
1.605833411,0.4032650292,
1.607500076,0.4234746695,
1.609166741,0.4268411994,
1.610833406,0.423299849,
1.612500191,0.416909337,
1.614166737,0.4229857922,
1.615833402,0.4295848012,
1.617500067,0.4213004708,
1.619166732,0.4267521501,
1.620833516,0.4274641871,
1.622500062,0.4266805649,
1.624166727,0.4196645319,
1.625833392,0.4204471707,
1.627500057,0.415266484,
1.629166842,0.4267438948,
1.630833387,0.4107154012,
1.632500052,0.4246938825,
1.634166718,0.4150927961,
1.635833383,0.4319531322,
1.637500167,0.4276083112,
1.639166832,0.4125556648,
1.640833378,0.4227853119,
1.642500043,0.4059184194,
1.644166708,0.418264538,
1.645833492,0.4311108291,
1.647500157,0.4222549796,
1.649166703,0.4262255728,
