Time temp,Abs,Reactor Temperature (C)
1630,0.056940177,308.927259
1631,0.054055607,308.952076
1633,0.054783641,308.994753
1635,0.054359917,309.013277
1636,0.055314764,309.009769
1637,0.055609781,309.030004
1638,0.052979888,309.039239
1639,0.053811714,309.023186
1641,0.054550698,309.084591
1643,0.05484051,309.089126
1645,0.052687785,309.135848
1646,0.054916027,309.1787
1647,0.052590932,309.164129
1649,0.055964001,309.182089
1650,0.055663196,309.198986
1652,0.057365649,309.230624
1653,0.05417252,309.257681
1656,0.055214718,309.277665
1657,0.056083059,309.293808
1658,0.056027494,309.324218
1660,0.057772169,309.373226
1662,0.057074851,309.409698
1664,0.057583774,309.38615
1665,0.057638431,309.416792
1668,0.059433267,309.462854
1670,0.05788061,309.486055
1672,0.058821016,309.507843
1674,0.059114946,309.533171
1675,0.058117183,309.548375
1676,0.057224824,309.583742
1677,0.059355426,309.573776
1678,0.059278271,309.591079
1679,0.056601014,309.614279
1680,0.057337937,309.604784
1683,0.057587389,309.646963
1684,0.058935494,309.662529
1686,0.060318712,309.683726
1689,0.059148978,309.734331
1690,0.052237594,309.734331
1692,0.055922551,309.803319
1693,0.050836938,309.787939
1696,0.058529262,309.839793
1698,0.050177741,309.835034
1699,0.049248481,309.879762
1702,0.054776356,309.933197
1704,0.05133854,309.919295
1705,0.050462306,309.959658
1707,0.05331591,309.940323
1708,0.053502642,309.995402
1709,0.053216481,309.999135
1711,0.051535505,310.00753
1712,0.049564213,310.040978
1713,0.051777006,310.047955
1715,0.051475302,310.088294
1716,0.05269051,310.057412
1718,0.052333802,310.079397
1719,0.054037639,310.102172
1720,0.05043833,310.149658
1721,0.055490311,310.124758
1723,0.054927035,310.16287
1724,0.052854814,310.176909
1725,0.053214271,310.135055
1726,0.054958482,310.159642
1727,0.051905098,310.213094
1728,0.052860095,310.24603
1729,0.053098736,310.247201
1731,0.053038977,310.277402
1734,0.053758299,310.3081
1735,0.049142286,310.312085
1736,0.048615961,310.331271
1738,0.051906937,310.334587
1741,0.049290392,310.342103
1743,0.049345463,310.407628
1745,0.049356551,310.44402
1747,0.050409106,310.492543
1748,0.049324013,310.467442
1750,0.050589306,310.490157
1751,0.048648664,310.51883
1754,0.048330085,310.556326
1755,0.049030619,310.56996
1756,0.049254953,310.550977
1758,0.048644049,310.638325
1759,0.049646904,310.600975
1761,0.049711977,310.648247
1763,0.049719825,310.643045
1765,0.047583567,310.678648
1766,0.048126991,310.681079
1767,0.047662684,310.705896
1769,0.047333047,310.742531
1770,0.047377936,310.728118
1771,0.047633124,310.726911
1773,0.04768689,310.766897
1775,0.048501005,310.823591
1777,0.045407004,310.826402
1778,0.048612554,310.849179
1781,0.047129147,310.84893
1782,0.046131895,310.887306
1784,0.047917865,310.891932
1785,0.047469739,310.919521
1787,0.046237483,310.943371
1788,0.047389084,310.939947
1789,0.046803984,310.991676
1792,0.048308725,310.99922
1793,0.046069343,311.047026
1795,0.046759171,311.062122
1796,0.045350694,311.063104
1799,0.046271259,311.082285
1800,0.045766682,311.074944
1803,0.044286323,311.109497
1804,0.044836164,311.133986
1806,0.045355549,311.138184
1807,0.043314791,311.146115
1808,0.04533312,311.209367
1810,0.045567433,311.187658
1812,0.045103081,311.229342
1815,0.045745732,311.260152
1817,0.045876989,311.293498
1818,0.046095914,311.279284
1820,0.046217984,311.305777
1821,0.045021491,311.351201
1822,0.046842313,311.37287
1824,0.046879745,311.36784
1825,0.045341619,311.399324
1827,0.046159577,311.401519
1828,0.0458058,311.418932
1829,0.045394079,311.448301
1830,0.04571677,311.46169
1832,0.045372768,311.457432
1833,0.04697151,311.477961
1834,0.046080405,311.466812
1835,0.043950379,311.493453
1838,0.0440365,311.5123
1839,0.04425398,311.537448
1841,0.04517832,311.597557
1843,0.044881375,311.592389
1844,0.044833427,311.604445
1847,0.045272647,311.598917
1848,0.044127045,311.611475
1850,0.044931437,311.661606
1852,0.044685388,311.709432
1853,0.04122916,311.714361
1854,0.044390527,311.689342
1856,0.044666073,311.719626
1858,0.044552488,311.749407
1860,0.043300921,311.782721
1861,0.04447583,311.748852
1862,0.043318748,311.779236
1864,0.046000718,311.798428
1867,0.043886675,311.82779
1869,0.044268941,311.85973
1870,0.043246051,311.858231
1873,0.042347997,311.895051
1874,0.043527571,311.934885
1876,0.042360602,311.93865
1877,0.044248835,311.983362
1878,0.044034359,311.967529
1879,0.044315737,311.979704
1881,0.042301368,311.982658
1882,0.044111775,312.00868
1884,0.043584675,312.020963
1885,0.04289209,312.026609
1886,0.044590817,312.015481
1887,0.043218627,312.050573
1890,0.041457593,312.090233
1891,0.041270714,312.10147
1894,0.044297809,312.116877
1896,0.042144027,312.132317
1897,0.042619735,312.13546
1899,0.04130448,312.165439
1900,0.041800734,312.174021
1902,0.042126903,312.179951
1904,0.041540116,312.256643
1906,0.043455657,312.254277
1908,0.043485499,312.272106
1909,0.042885882,312.299767
1910,0.041996627,312.333669
1912,0.04388502,312.319745
1914,0.042557342,312.339481
1916,0.042149775,312.345103
1918,0.043385608,312.384649
1919,0.041477366,312.384649
1921,0.040881627,312.414457
1923,0.04265193,312.420756
1924,0.042174675,312.442647
1925,0.043731766,312.436339
1926,0.041834056,312.449343
1928,0.042561646,312.487637
1929,0.041954347,312.50492
1930,0.041970905,312.505118
1932,0.042349672,312.508395
1934,0.042712785,312.534427
1937,0.042906792,312.582032
1938,0.043095692,312.570718
1939,0.043634518,312.595441
1942,0.043237707,312.616125
1944,0.043522787,312.63766
1945,0.041920362,312.639664
1946,0.044880267,312.642172
1947,0.043611718,312.657455
1948,0.045175161,312.698137
1951,0.045631412,312.729347
1952,0.042933612,312.71319
1954,0.045580404,312.722163
1955,0.042879028,312.762228
1958,0.043431276,312.782452
1960,0.043876727,312.791782
1962,0.043404954,312.820691
1964,0.043796768,312.827596
1965,0.044881779,312.829686
1968,0.043945754,312.870581
1970,0.045571912,312.894331
1971,0.045035068,312.933358
1974,0.04410816,312.940291
1976,0.045438858,312.946319
1978,0.043183863,312.981094
1981,0.042330107,313.008641
1984,0.043572912,313.027827
1985,0.044040438,313.066724
1987,0.043323394,313.072355
1990,0.043775986,313.097837
1992,0.045037,313.125725
1994,0.045844804,313.152183
1996,0.045212513,313.173509
1998,0.045167704,313.159682
1999,0.043211868,313.193745
2001,0.042981607,313.192056
2004,0.043230141,313.227004
2005,0.043658362,313.238869
2007,0.043031998,313.268423
2008,0.04599236,313.280403
2009,0.044862942,313.276536
2010,0.046167576,313.273837
2012,0.045300377,313.309237
2013,0.043164463,313.298431
2015,0.043308409,313.352453
2017,0.043856289,313.347997
2018,0.044409117,313.330726
2020,0.043612509,313.390244
2023,0.045778568,313.409143
2025,0.044230342,313.435957
2027,0.045856079,313.466664
2028,0.044606252,313.458174
2031,0.045545333,313.523048
2032,0.045889083,313.502186
2034,0.044443873,313.51682
2035,0.044072612,313.52113
2036,0.043205531,313.540172
2038,0.044453794,313.570489
2039,0.045239097,313.570839
2041,0.044455867,313.602169
2042,0.044904274,313.595744
2043,0.043840205,313.576559
2045,0.044289118,313.591983
2046,0.045571087,313.635599
2048,0.04268133,313.667221
2049,0.044625537,313.653491
2051,0.045183792,313.676869
2053,0.044262983,313.70952
2055,0.047383622,313.722977
2057,0.044254775,313.766351
2058,0.044580069,313.748129
2060,0.04472987,313.76788
2062,0.043439597,313.763922
2063,0.042879604,313.773581
2064,0.043292255,313.785837
2066,0.043186644,313.817924
2070,0.045065146,313.853837
2071,0.042702378,313.865147
2072,0.04394531,313.834057
2074,0.04327773,313.89708
2076,0.043765709,313.885042
2077,0.044029294,313.876333
2078,0.043830324,313.906407
2079,0.044490986,313.910825
2080,0.044058917,313.945512
2082,0.044281754,313.951504
2084,0.044258913,313.985298
2085,0.045391174,313.98937
2087,0.043706746,314.012943
2089,0.04267238,313.999741
2090,0.043991367,314.039478
2091,0.045322579,314.03612
2094,0.046281361,314.064239
2095,0.044447758,314.06304
2098,0.045013759,314.079747
2100,0.044914306,314.114105
2102,0.04356957,314.141516
2103,0.044268165,314.09967
2104,0.045128832,314.146624
2105,0.043126649,314.145182
2106,0.043905412,314.164514
2109,0.044383462,314.183037
2111,0.044663174,314.203998
2112,0.044453942,314.214724
2113,0.044918104,314.199653
2115,0.043874241,314.199122
2116,0.045341343,314.242706
2118,0.044035072,314.251235
